"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"India","IND","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","SE.XPD.CSEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.4874496459961","94.9761199951172","","","94.4055709838867","94.5336990356445","94.5336990356445","","","","","","","","","","","",
"India","IND","Current education expenditure, primary (% of total expenditure in primary public institutions)","SE.XPD.CPRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.4874496459961","95.5225524902344","","","94.4055709838867","94.5336990356445","94.5336990356445","","","","","","","","","","","",
"India","IND","Tertiary education, academic staff (% female)","SE.TER.TCHR.FE.ZS","","","","","","","","","","","","","15.7786598205566","15.9139604568481","","16.3089408874512","16.6532402038574","17.2463397979736","17.5976104736328","18.306640625","18.2219200134277","","","","19.5205707550049","20.5855407714844","20.9735698699951","21.0828304290771","","","","","","","","","","","","","36.971549987793","36.9853286743164","36.9470405578613","37.0283012390137","40.0000686645508","","","","","","","","","39.046028137207","39.0288200378418","38.6143684387207","",
"India","IND","School enrollment, tertiary, male (% gross)","SE.TER.ENRR.MA","","","","","","","","","","","","7.54182004928589","","7.59042978286743","","","7.35063982009888","7.01787996292114","7.22888994216919","7.09092998504639","7.10980987548828","7.45519018173218","6.87743997573853","7.73497009277344","8.14988040924072","7.94558000564575","8.09004974365234","8.56676006317139","7.30453014373779","7.55651998519897","7.73446989059448","7.77103996276855","","","","7.00017976760864","7.73787021636963","8.05665969848633","","","11.44225025177","11.5010204315186","11.9846096038818","12.6463203430176","13.0639896392822","12.5094299316406","13.3429203033447","15.4454002380371","","18.7719192504883","20.6138305664063","25.4935398101807","","24.6400604248047","25.7431793212891","27.004020690918","",
"India","IND","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","2.18287992477417","","2.23137998580933","","","2.4452600479126","2.51673007011414","2.60349988937378","2.69563007354736","2.68267011642456","2.90130996704102","2.88230991363525","3.23457002639771","3.41304993629456","3.57211995124817","3.74278998374939","3.93873000144959","3.63605999946594","3.81088995933533","4.02840995788574","4.16183996200562","","","","3.9805600643158","4.71765995025635","4.95697021484375","","","7.50087022781372","7.82896995544434","8.31583976745605","8.54092979431152","8.73456001281738","8.80486011505127","9.59004020690918","10.7461595535278","","13.2045602798462","14.9680700302124","19.9839305877686","","23.0639095306396","25.3059101104736","26.7318592071533","",
"India","IND","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","4.95102977752686","","5.02475023269653","","","5.00967979431152","4.86898994445801","5.01915979385376","4.98982000350952","4.99206018447876","5.27524995803833","4.9647102355957","5.57984018325806","5.8807201385498","5.84951019287109","6.00534009933472","6.34684991836548","5.54462003707886","5.75943994522095","5.95615005493164","6.03883981704712","","","","5.55033016204834","6.28704977035522","6.56695985794067","","","9.54743957519531","9.73581027984619","10.2214498519897","10.6738395690918","10.9842796325684","10.7301597595215","11.5405597686768","13.1887702941895","15.1170997619629","16.1029891967773","17.9114894866943","22.8613700866699","24.3653297424316","23.8901100158691","25.5354499816895","26.8748798370361","",
"India","IND","Pupil-teacher ratio, tertiary","SE.TER.ENRL.TC.ZS","","","","","","","","","","","","","","12.9623899459839","","","12.9074697494507","12.3805704116821","12.9315595626831","13.8690795898438","11.8168296813965","","","","14.085280418396","14.5809898376465","14.7629098892212","15.0273399353027","","","","","","","","","","","","","23.5687198638916","23.8039894104004","24.674560546875","26.3854694366455","22.0000305175781","","","","","","","","","21.5312194824219","24.4727897644043","24.2897605895996","",
"India","IND","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","SE.TER.CUAT.ST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.89301013946533","","","","","",
"India","IND","Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","SE.TER.CUAT.ST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6208295822144","","","","","",
"India","IND","Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","SE.TER.CUAT.ST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.09276008605957","","","","","",
"India","IND","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.MS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)","SE.TER.CUAT.MS.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","SE.TER.CUAT.MS.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
